date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:16:49	412691/412691	---M--	200	added ('OK')	image/jpeg	etag:COrW85CSyOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528222067184-O0DUXG98JLTVJO9EC1OE/AKHO_Floor+Plans.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528222067184-O0DUXG98JLTVJO9EC1OE/AKHO_Floor+Plans.jpg	(from https://www.indigenousoutsiders.com/-akho)
20:16:50	201820/201820	---M--	200	added ('OK')	image/jpeg	etag:CK/HgdmSyOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528642772207-RMMJLYOME8WYK0A0CFMV/BEGHLETI_Floorplans+1-200+copy.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528642772207-RMMJLYOME8WYK0A0CFMV/BEGHLETI_Floorplans+1-200+copy.jpg	(from https://www.indigenousoutsiders.com/beghleti-1)
20:16:50	1780650/1780650	---M--	200	added ('OK')	image/jpeg	etag:CNnD55LuxOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528642751133-9UV7I8VPRG51S0MY0SR7/BEGHLETI_Site+plan+1-200.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528642751133-9UV7I8VPRG51S0MY0SR7/BEGHLETI_Site+plan+1-200.jpg	(from https://www.indigenousoutsiders.com/beghleti-1)
20:16:50	95891/95891	---M--	200	added ('OK')	image/jpeg	etag:CLKFx9qSyOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528642785935-6K3CPM3GK7QF5YBNO8OT/BEGHLETI_+minaret+comparison.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528642785935-6K3CPM3GK7QF5YBNO8OT/BEGHLETI_+minaret+comparison.jpg	(from https://www.indigenousoutsiders.com/beghleti-1)
20:16:50	726378/726378	---M--	200	added ('OK')	image/jpeg	etag:CODTnpKSyOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528642799966-7SDQDCGDXOFXPZD404CA/BEGHLETI+3D+copy.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528642799966-7SDQDCGDXOFXPZD404CA/BEGHLETI+3D+copy.jpg	(from https://www.indigenousoutsiders.com/beghleti-1)
20:16:50	2064/2064	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2025%20Nov%202024%2001:16:51%20UTC	https://www.indigenousoutsiders.com/%22//cdn.embedly.com/widgets/media.html?src=https%3A%2F%2Fmomento360.com%2Fe%2Fu%2F7bc569e74e0044a0a54553b227e9cc24%3Futm_campaign%3Dembed%26utm_source%3Dother%26heading%3D0%26pitch%3D0%26field-of-view%3D75%26size%3Dmedium&display_name=momento360&url=https%3A%2F%2Fmomento360.com%2Fe%2Fu%2F7bc569e74e0044a0a54553b227e9cc24%3Futm_campaign%3Dembed%26utm_source%3Dother%26heading%3D0%26pitch%3D0%26field-of-view%3D75%26size%3Dmedium&image=https%3A%2F%2Fproduction-cdn.momento360.com%2Fe%2Fu%2F7bc569e74e0044a0a54553b227e9cc24%2Fsphere%2Fpreview&key=61d05c9d54e8455ea7a9677c366be814&type=text%2Fhtml&schema=momento360\%22	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/_/cdn.embedly.com/widgets/media.17c64ec.delayed	(from https://www.indigenousoutsiders.com/beghleti-1)
20:16:51	262419/262419	---M--	200	added ('OK')	image/jpeg	etag:COapwuDvxOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528222584170-RBMST1V9XB2AJZ9NHJ74/BZUBZU_Floorplans+1-200.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528222584170-RBMST1V9XB2AJZ9NHJ74/BZUBZU_Floorplans+1-200.jpg	(from https://www.indigenousoutsiders.com/bzubzu-1)
20:16:52	402375/402375	---M--	200	added ('OK')	image/jpeg	etag:COPNmtuSyOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528643648190-YX2FO5OQNTV222TUXDWH/CHAO+DOME+MODEL+copy.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528643648190-YX2FO5OQNTV222TUXDWH/CHAO+DOME+MODEL+copy.jpg	(from https://www.indigenousoutsiders.com/-chao)
20:16:52	191634/191634	---M--	200	added ('OK')	image/jpeg	etag:CJj5m5aSyOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528643665477-O1JJUAZQ5KPBZIKD2NL4/CHAO_Floorplans+1-200+copy.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528643665477-O1JJUAZQ5KPBZIKD2NL4/CHAO_Floorplans+1-200+copy.jpg	(from https://www.indigenousoutsiders.com/-chao)
20:16:52	4172420/4172420	---M--	200	added ('OK')	image/jpeg	etag:CIbewuHvxOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528643624017-EKHD8CPSFEV7VN3D47HI/CHAO_Site+Plan.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528643624017-EKHD8CPSFEV7VN3D47HI/CHAO_Site+Plan.jpg	(from https://www.indigenousoutsiders.com/-chao)
